painting,paintingLabel,artistLabel,locationLabel,locationCoord,year,image
http://www.wikidata.org/entity/Q20809031,The Man of Sorrows (Christ Crowned with Thorns),Domenico Ghirlandaio,Philadelphia Museum of Art,Point(-75.181388888 39.965833333),1480,http://commons.wikimedia.org/wiki/Special:FilePath/Domenico%20Ghirlandaio%20%28after%20Hans%20Memling%29%20-%20The%20Man%20of%20Sorrows%20%28Christ%20Crowned%20with%20Thorns%29%20c1490%20-Philadelphia%20Museum%20of%20Art.jpg
http://www.wikidata.org/entity/Q124289865,Fortune,Giovanni Bellini,Gallerie dell'Accademia,Point(12.328139 45.431078),1490,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20bellini%2C%20quattro%20allegorie%2C%20incostanza.jpg
http://www.wikidata.org/entity/Q113016417,Portrait of Pope Julius III,Girolamo Siciolante da Sermoneta,Galleria Spada,Point(12.471944444 41.894194444),1550,http://commons.wikimedia.org/wiki/Special:FilePath/Girolamo%20siciolante%20da%20sermoneta%2C%20ritratto%20di%20papa%20giulio%20III%2C%201550%20ca.%20%28gall.%20spada%29.jpg
http://www.wikidata.org/entity/Q26938798,"Madonna and Child with Infant Saint John the Baptist, Angels Circling Above",Filippino Lippi,Museo Soumaya,Point(-99.204722222 19.440694444),1502,http://commons.wikimedia.org/wiki/Special:FilePath/13543%20Virgen%20y%20Ni%C3%B1o%20con%20san%20Juan%20Bautista.jpg
http://www.wikidata.org/entity/Q26938798,"Madonna and Child with Infant Saint John the Baptist, Angels Circling Above",Filippino Lippi,Museo Soumaya,Point(-99.204722222 19.440694444),1504,http://commons.wikimedia.org/wiki/Special:FilePath/13543%20Virgen%20y%20Ni%C3%B1o%20con%20san%20Juan%20Bautista.jpg
http://www.wikidata.org/entity/Q115434462,Portrait of Clement VII with beard,Sebastiano del Piombo,Museo di Capodimonte,Point(14.250346 40.86699),1529,http://commons.wikimedia.org/wiki/Special:FilePath/Del%20Piombo%20Clement.jpg
http://www.wikidata.org/entity/Q24800719,Saint Francis renounces his Earthly Father,Stefano di Giovanni,National Gallery,Point(-0.128333333 51.508888888),1437,http://commons.wikimedia.org/wiki/Special:FilePath/Sassetta%20001.jpg
http://www.wikidata.org/entity/Q124289912,Falsehood,Giovanni Bellini,Gallerie dell'Accademia,Point(12.328139 45.431078),1490,http://commons.wikimedia.org/wiki/Special:FilePath/Accademia%20-%20Giovanni%20Bellini%20e%20Andrea%20Previtali%20-%20Quattro%20allegorie%20-%20menzogna.jpg
http://www.wikidata.org/entity/Q2104369,A Tavern Quarrel,Hieronymus Bosch,Centre for Old Arts 't Vliegend Peert,Point(4.47732 51.03014),1500,http://commons.wikimedia.org/wiki/Special:FilePath/Hy%20soect%20de%20byle.jpg
http://www.wikidata.org/entity/Q27058605,Game of Chess,Giulio Campi,Museo Civico d'Arte Antica,Point(7.68548 45.0711),1530,http://commons.wikimedia.org/wiki/Special:FilePath/Giulio%20Campi%20-%20partie%20d%27%C3%A9checs.jpg
http://www.wikidata.org/entity/Q115657605,Portrait of Grand Duke Cosimo I de' Medici,http://www.wikidata.org/.well-known/genid/e4b09abcf9b856db3af9f4c39527dbde,National Museum of Fine Arts of Cuba,Point(-82.354984 23.1314788),1600,http://commons.wikimedia.org/wiki/Special:FilePath/Bronzino%20-%20Retrato%20do%20Gr%C3%A3o-Duque%20Cosme%20I%20de%20M%C3%A9dici.jpg
http://www.wikidata.org/entity/Q115109300,"Portrait of Pope Gregory XIII, bust-length",Scipione Pulzone,Malta,Point(14.5 35.883333333),1585,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Pope%20Gregory%20XIII%2C%20bust-length%20%28by%20Scipione%20Pulzone%29.jpg
http://www.wikidata.org/entity/Q1638622,Adoration of the Magi,Leonardo da Vinci,room 15,,1482,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20-%20Adorazione%20dei%20Magi%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q151047,The Birth of Venus,Sandro Botticelli,"Uffizi Gallery - Room 11-12, Botticelli's",,1485,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20nascita%20di%20Venere%20-%20Google%20Art%20Project%20-%20edited.jpg
http://www.wikidata.org/entity/Q9074362,"Santo Domingo de Silos entronizado como obispo, de Bartolomé Bermejo (Museo del Prado)",Martín Bernat,Museo del Prado,Point(-3.692222222 40.413888888),1474,http://commons.wikimedia.org/wiki/Special:FilePath/Santo%20Domingo%20de%20Silos%20entronizado%20como%20obispo%2C%20por%20Bartolom%C3%A9%20Bermejo.jpg
http://www.wikidata.org/entity/Q113016417,Portrait of Pope Julius III,Girolamo Siciolante da Sermoneta,Galleria Spada,Point(12.471891 41.894234),1550,http://commons.wikimedia.org/wiki/Special:FilePath/Girolamo%20siciolante%20da%20sermoneta%2C%20ritratto%20di%20papa%20giulio%20III%2C%201550%20ca.%20%28gall.%20spada%29.jpg
http://www.wikidata.org/entity/Q21680607,Peasant Wedding in a Barn,Pieter Brueghel the Younger,Museum of Fine Arts Ghent (MSK),Point(3.724244 51.037975),1616,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Brueghel%20de%20Jonge%20-%20Bruiloftsmaal%20in%20de%20schuur%20%28MSK%20Gent%29.jpg
