paintingLabel,artistLabel,locationLabel,year,image,longitude,latitude
Q29018377,Bartolomé Bermejo,Cathedral of the Holy Cross and Saint Eulalia,1490,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Pietat%20Despla%204153.jpg,-1.3132457711194079,51.0607326
Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,Master of Messkirch,Fürstenberg Collection,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg,13.14442,53.18427
Christ of the Mercy,Bartolomé Bermejo,Peralada Castle,1475,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Crist%20de%20la%20Pietat%204106.jpg,3.011110621854305,42.307638499999996
Sainte Engratia,Bartolomé Bermejo,Isabella Stewart Gardner Museum,1474,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Engratia.JPG,-71.09915382373549,42.33824495
Christi Abschied von seiner Mutter,Master of Messkirch,Fürstenberg Collection,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg,13.14442,53.18427
Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,Master of Messkirch,Meßkirch Castle,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg,9.107787,48.004088
The Man of Sorrows (Christ Crowned with Thorns),Domenico Ghirlandaio,Philadelphia Museum of Art,1480,http://commons.wikimedia.org/wiki/Special:FilePath/Domenico%20Ghirlandaio%20%28after%20Hans%20Memling%29%20-%20The%20Man%20of%20Sorrows%20%28Christ%20Crowned%20with%20Thorns%29%20c1490%20-Philadelphia%20Museum%20of%20Art.jpg,-75.18151205326768,39.96556390000001
Fortune,Giovanni Bellini,Gallerie dell'Accademia,1490,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20bellini%2C%20quattro%20allegorie%2C%20incostanza.jpg,12.3282997,45.431244
Portrait of Pope Julius III,Girolamo Siciolante da Sermoneta,Galleria Spada,1550,http://commons.wikimedia.org/wiki/Special:FilePath/Girolamo%20siciolante%20da%20sermoneta%2C%20ritratto%20di%20papa%20giulio%20III%2C%201550%20ca.%20%28gall.%20spada%29.jpg,12.4722011,41.8938866
"Madonna and Child with Infant Saint John the Baptist, Angels Circling Above",Filippino Lippi,Museo Soumaya,1502,http://commons.wikimedia.org/wiki/Special:FilePath/13543%20Virgen%20y%20Ni%C3%B1o%20con%20san%20Juan%20Bautista.jpg,-99.20457796238341,19.4407784
Portrait of Clement VII with beard,Sebastiano del Piombo,Museo di Capodimonte,1529,http://commons.wikimedia.org/wiki/Special:FilePath/Del%20Piombo%20Clement.jpg,14.250875323233455,40.867030650000004
Saint Francis renounces his Earthly Father,Stefano di Giovanni,National Gallery,1437,http://commons.wikimedia.org/wiki/Special:FilePath/Sassetta%20001.jpg,-0.12838264338231645,51.508881
Falsehood,Giovanni Bellini,Gallerie dell'Accademia,1490,http://commons.wikimedia.org/wiki/Special:FilePath/Accademia%20-%20Giovanni%20Bellini%20e%20Andrea%20Previtali%20-%20Quattro%20allegorie%20-%20menzogna.jpg,12.3282997,45.431244
A Tavern Quarrel,Hieronymus Bosch,Centre for Old Arts 't Vliegend Peert,1500,http://commons.wikimedia.org/wiki/Special:FilePath/Hy%20soect%20de%20byle.jpg,-87.833191,42.049463
Game of Chess,Giulio Campi,Museo Civico d'Arte Antica,1530,http://commons.wikimedia.org/wiki/Special:FilePath/Giulio%20Campi%20-%20partie%20d%27%C3%A9checs.jpg,7.6856008,45.0710538
Portrait of Grand Duke Cosimo I de' Medici,http://www.wikidata.org/.well-known/genid/e4b09abcf9b856db3af9f4c39527dbde,National Museum of Fine Arts of Cuba,1600,http://commons.wikimedia.org/wiki/Special:FilePath/Bronzino%20-%20Retrato%20do%20Gr%C3%A3o-Duque%20Cosme%20I%20de%20M%C3%A9dici.jpg,-117.073645,32.777508
"Portrait of Pope Gregory XIII, bust-length",Scipione Pulzone,Malta,1585,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Pope%20Gregory%20XIII%2C%20bust-length%20%28by%20Scipione%20Pulzone%29.jpg,-73.792926,42.9711708
Adoration of the Magi,Leonardo da Vinci,room 15,1482,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20-%20Adorazione%20dei%20Magi%20-%20Google%20Art%20Project.jpg,-5.4729125,56.4150235
The Birth of Venus,Sandro Botticelli,"Uffizi Gallery - Room 11-12, Botticelli's",1485,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20nascita%20di%20Venere%20-%20Google%20Art%20Project%20-%20edited.jpg,,
"Santo Domingo de Silos entronizado como obispo, de Bartolomé Bermejo (Museo del Prado)",Martín Bernat,Museo del Prado,1474,http://commons.wikimedia.org/wiki/Special:FilePath/Santo%20Domingo%20de%20Silos%20entronizado%20como%20obispo%2C%20por%20Bartolom%C3%A9%20Bermejo.jpg,-3.69204071450646,40.41379255
Peasant Wedding in a Barn,Pieter Brueghel the Younger,Museum of Fine Arts Ghent (MSK),1616,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Brueghel%20de%20Jonge%20-%20Bruiloftsmaal%20in%20de%20schuur%20%28MSK%20Gent%29.jpg,-98.388578,29.56823
Saint Michael Triumphs over the Devil,Bartolomé Bermejo,National Gallery,1468,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo-Miquel.jpeg,-0.12838264338231645,51.508881
Madonna and Child,Vasilis Michaelides,State Gallery of Contemporary Art,1875,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20and%20Child%20-%20Vasilis%20Michaelides.jpg,33.36158784814687,35.16816944999999
Saint Mark Preaching in Alexandria,Gentile Bellini,Pinacoteca di Brera,1500,http://commons.wikimedia.org/wiki/Special:FilePath/Gentile%20e%20giovanni%20bellini%2C%20predica%20di%20san%20marco%20in%20alessandria%2001.jpg,9.1884071,45.4722421
Portrait of a lady from the Klammer von Weydach Family,Hans Maler zu Schwaz,Museum Boijmans Van Beuningen,1550,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Maler%20-%20Portret%20van%20een%20vrouw%20uit%20het%20geslacht%20Klammer%20von%20Weydach%20-%201485%20recto%20%28OK%29%20-%20Museum%20Boijmans%20Van%20Beuningen.jpg,4.4730006,51.9143648
Ferdinand I of Castile welcoming Saint Dominic of Silos,Martín Bernat,Museo del Prado,1478,http://commons.wikimedia.org/wiki/Special:FilePath/Bernat-bermejo%20fernando%20I%20castilla.jpg,-3.69204071450646,40.41379255
"Portrait of Pope Gregory XIII, bust-length",Scipione Pulzone,United States,1585,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Pope%20Gregory%20XIII%2C%20bust-length%20%28by%20Scipione%20Pulzone%29.jpg,-100.445882,39.7837304
Adoration of the Magi,Leonardo da Vinci,Uffizi Gallery,1482,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20-%20Adorazione%20dei%20Magi%20-%20Google%20Art%20Project.jpg,11.25649,43.76773
Portrait of a beardless man,Hans Maler zu Schwaz,Kunsthistorisches Museum,1521,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Maler%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Bildnis%20eines%20bartlosen%20Mannes%20-%20GG%20884%20-%20Kunsthistorisches%20Museum.jpg,16.361781933366263,48.2037395
Madonna Adoring the Christ Child,Francesco Botticini,Birmingham Museum of Art,1470,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20Adoring%20the%20Christ%20Child%20by%20Francesco%20Botticini.jpg,-86.80995994962024,33.522194150000004
San Zeno Altarpiece,Andrea Mantegna,Italy,1457,http://commons.wikimedia.org/wiki/Special:FilePath/Verone%20-%20San%20Zeno%20-%20Retable%20de%20Mantegna..jpg,12.674297,42.6384261
Christ as Man of Sorrows,Marco Zoppo,Birmingham Museum of Art,1460,,-86.80995994962024,33.522194150000004
Saint Dominic,http://www.wikidata.org/.well-known/genid/2d173e6749e35d8154c65072937f6dd1,Église du Musée des Augustins de Toulouse,1600,http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Saint%20Dominique%20-%20Anonyme%20fran%C3%A7ais%20D%201952%203.jpg,,
